TIME_PERIOD|GEO|AGE|SEX|Obs_status|VALUE
2019-W01|CH|_T|T|P|1341
2019-W02|CH|_T|T|P|1389
2019-W03|CH|_T|T|P|1358
2019-W04|CH|_T|T|P|1403
2019-W05|CH|_T|T|P|1439
2019-W06|CH|_T|T|P|1481
2019-W07|CH|_T|T|P|1555
2019-W08|CH|_T|T|P|1527
2019-W09|CH|_T|T|P|1527
2019-W10|CH|_T|T|P|1452
2019-W11|CH|_T|T|P|1379
2019-W12|CH|_T|T|P|1351
2019-W13|CH|_T|T|P|1322
2019-W14|CH|_T|T|P|1382
2019-W15|CH|_T|T|P|1222
2019-W16|CH|_T|T|P|1308
2019-W17|CH|_T|T|P|1233
2019-W18|CH|_T|T|P|1256
2019-W19|CH|_T|T|P|1265
2019-W20|CH|_T|T|P|1218
2019-W21|CH|_T|T|P|1271
2019-W22|CH|_T|T|P|1245
2019-W23|CH|_T|T|P|1251
2019-W24|CH|_T|T|P|1171
2019-W25|CH|_T|T|P|1210
2019-W26|CH|_T|T|P|1243
2019-W27|CH|_T|T|P|1258
2019-W28|CH|_T|T|P|1225
2019-W29|CH|_T|T|P|1206
2019-W30|CH|_T|T|P|1260
2019-W31|CH|_T|T|P|1139
2019-W32|CH|_T|T|P|1138
2019-W33|CH|_T|T|P|1142
2019-W34|CH|_T|T|P|1252
2019-W35|CH|_T|T|P|1147
2019-W36|CH|_T|T|P|1172
2019-W37|CH|_T|T|P|1251
2019-W38|CH|_T|T|P|1295
2019-W39|CH|_T|T|P|1237
2019-W40|CH|_T|T|P|1234
2019-W41|CH|_T|T|P|1278
2019-W42|CH|_T|T|P|1297
2019-W43|CH|_T|T|P|1307
2019-W44|CH|_T|T|P|1222
2019-W45|CH|_T|T|P|1264
2019-W46|CH|_T|T|P|1364
2019-W47|CH|_T|T|P|1331
2019-W48|CH|_T|T|P|1375
2019-W49|CH|_T|T|P|1217
2019-W50|CH|_T|T|P|1367
2019-W51|CH|_T|T|P|1399
2019-W52|CH|_T|T|P|1328
2020-W01|CH|_T|T|P|1302
2020-W02|CH|_T|T|P|1351
2020-W03|CH|_T|T|P|1397
2020-W04|CH|_T|T|P|1402
2020-W05|CH|_T|T|P|1410
2020-W06|CH|_T|T|P|1369
2020-W07|CH|_T|T|P|1367
2020-W08|CH|_T|T|P|1342
2020-W09|CH|_T|T|P|1320
2020-W10|CH|_T|T|P|1331
2020-W11|CH|_T|T|P|1361
2020-W12|CH|_T|T|P|1489
2020-W13|CH|_T|T|P|1583
2020-W14|CH|_T|T|P|1816
2020-W15|CH|_T|T|P|1590
2020-W16|CH|_T|T|P|1507
2020-W17|CH|_T|T|P|1308
2020-W18|CH|_T|T|P|1155
