Endend;Alter;Grossregion;Woche;untGrenze;Erwartung;obeGrenze;hochrechnung
05.01.2020;65+;CH01;1;189;228;267;187
12.01.2020;65+;CH01;2;188;227;266;201
19.01.2020;65+;CH01;3;187;226;265;222
26.01.2020;65+;CH01;4;187;225;264;210
02.02.2020;65+;CH01;5;186;224;263;222
09.02.2020;65+;CH01;6;185;223;262;200
16.02.2020;65+;CH01;7;184;222;261;213
23.02.2020;65+;CH01;8;181;220;258;194
01.03.2020;65+;CH01;9;179;217;255;184
08.03.2020;65+;CH01;10;175;213;251;195
15.03.2020;65+;CH01;11;172;209;246;240
22.03.2020;65+;CH01;12;168;205;242;246.7
29.03.2020;65+;CH01;13;164;201;237;320.7
05.04.2020;65+;CH01;14;161;198;234;395.7
12.04.2020;65+;CH01;15;159;195;231;365.1
19.04.2020;65+;CH01;16;156;192;228;316
26.04.2020;65+;CH01;17;155;190;226;
03.05.2020;65+;CH01;18;153;189;224;
10.05.2020;65+;CH01;19;152;188;223;
17.05.2020;65+;CH01;20;151;187;222;
24.05.2020;65+;CH01;21;151;186;221;
31.05.2020;65+;CH01;22;149;184;219;
07.06.2020;65+;CH01;23;148;183;218;
14.06.2020;65+;CH01;24;147;182;217;
21.06.2020;65+;CH01;25;147;181;216;
28.06.2020;65+;CH01;26;146;181;215;
05.07.2020;65+;CH01;27;145;180;214;
12.07.2020;65+;CH01;28;145;179;214;
19.07.2020;65+;CH01;29;144;179;213;
26.07.2020;65+;CH01;30;144;178;213;
02.08.2020;65+;CH01;31;144;178;212;
09.08.2020;65+;CH01;32;144;178;212;
16.08.2020;65+;CH01;33;144;178;212;
23.08.2020;65+;CH01;34;144;179;213;
30.08.2020;65+;CH01;35;145;180;214;
06.09.2020;65+;CH01;36;146;181;215;
13.09.2020;65+;CH01;37;148;182;217;
20.09.2020;65+;CH01;38;149;184;219;
27.09.2020;65+;CH01;39;151;186;221;
04.10.2020;65+;CH01;40;153;188;223;
11.10.2020;65+;CH01;41;154;190;225;
18.10.2020;65+;CH01;42;156;192;228;
25.10.2020;65+;CH01;43;158;193;229;
01.11.2020;65+;CH01;44;159;195;231;
08.11.2020;65+;CH01;45;161;197;233;
15.11.2020;65+;CH01;46;163;199;235;
22.11.2020;65+;CH01;47;165;201;238;
29.11.2020;65+;CH01;48;166;203;239;
06.12.2020;65+;CH01;49;167;204;241;
13.12.2020;65+;CH01;50;169;206;243;
20.12.2020;65+;CH01;51;170;207;245;
27.12.2020;65+;CH01;52;172;209;246;
03.01.2021;65+;CH01;53;173;211;248;
05.01.2020;65+;CH02;1;253;297;341;286
12.01.2020;65+;CH02;2;255;299;344;281
19.01.2020;65+;CH02;3;257;302;346;280
26.01.2020;65+;CH02;4;259;304;349;300
02.02.2020;65+;CH02;5;262;307;353;305
09.02.2020;65+;CH02;6;265;311;356;263
16.02.2020;65+;CH02;7;268;313;359;290
23.02.2020;65+;CH02;8;267;312;358;295
01.03.2020;65+;CH02;9;265;311;356;265
08.03.2020;65+;CH02;10;260;305;350;301
15.03.2020;65+;CH02;11;255;299;344;285
22.03.2020;65+;CH02;12;248;292;336;286.4
29.03.2020;65+;CH02;13;240;284;327;293
05.04.2020;65+;CH02;14;235;278;321;334.9
12.04.2020;65+;CH02;15;230;273;316;314.2
19.04.2020;65+;CH02;16;226;268;310;317.1
26.04.2020;65+;CH02;17;221;263;305;
03.05.2020;65+;CH02;18;217;258;300;
10.05.2020;65+;CH02;19;213;254;295;
17.05.2020;65+;CH02;20;210;251;291;
24.05.2020;65+;CH02;21;208;248;289;
31.05.2020;65+;CH02;22;208;248;289;
07.06.2020;65+;CH02;23;208;249;289;
14.06.2020;65+;CH02;24;209;249;290;
21.06.2020;65+;CH02;25;210;251;291;
28.06.2020;65+;CH02;26;211;252;293;
05.07.2020;65+;CH02;27;212;253;294;
12.07.2020;65+;CH02;28;211;252;293;
19.07.2020;65+;CH02;29;211;252;293;
26.07.2020;65+;CH02;30;211;252;293;
02.08.2020;65+;CH02;31;211;252;293;
09.08.2020;65+;CH02;32;211;252;293;
16.08.2020;65+;CH02;33;211;252;293;
23.08.2020;65+;CH02;34;211;252;293;
30.08.2020;65+;CH02;35;212;253;294;
06.09.2020;65+;CH02;36;213;254;296;
13.09.2020;65+;CH02;37;215;256;297;
20.09.2020;65+;CH02;38;217;258;299;
27.09.2020;65+;CH02;39;218;260;301;
04.10.2020;65+;CH02;40;220;261;303;
11.10.2020;65+;CH02;41;221;263;305;
18.10.2020;65+;CH02;42;223;265;307;
25.10.2020;65+;CH02;43;225;267;309;
01.11.2020;65+;CH02;44;226;269;311;
08.11.2020;65+;CH02;45;231;274;316;
15.11.2020;65+;CH02;46;235;278;321;
22.11.2020;65+;CH02;47;240;283;327;
29.11.2020;65+;CH02;48;244;288;331;
06.12.2020;65+;CH02;49;248;292;336;
13.12.2020;65+;CH02;50;251;295;339;
20.12.2020;65+;CH02;51;254;299;343;
27.12.2020;65+;CH02;52;257;302;347;
03.01.2021;65+;CH02;53;260;305;350;
05.01.2020;65+;CH03;1;140;174;208;174
12.01.2020;65+;CH03;2;140;174;208;184
19.01.2020;65+;CH03;3;140;174;208;175
26.01.2020;65+;CH03;4;140;174;208;165
02.02.2020;65+;CH03;5;140;174;208;176
09.02.2020;65+;CH03;6;140;174;208;182
16.02.2020;65+;CH03;7;140;174;208;168
23.02.2020;65+;CH03;8;139;173;207;174
01.03.2020;65+;CH03;9;138;172;206;171
08.03.2020;65+;CH03;10;137;170;204;156
15.03.2020;65+;CH03;11;135;168;202;167
22.03.2020;65+;CH03;12;132;165;199;194.9
29.03.2020;65+;CH03;13;130;162;195;199.7
05.04.2020;65+;CH03;14;127;160;192;226.7
12.04.2020;65+;CH03;15;124;157;189;177.3
19.04.2020;65+;CH03;16;122;154;186;178.5
26.04.2020;65+;CH03;17;120;152;184;
03.05.2020;65+;CH03;18;119;150;182;
10.05.2020;65+;CH03;19;117;149;180;
17.05.2020;65+;CH03;20;116;148;179;
24.05.2020;65+;CH03;21;115;146;177;
31.05.2020;65+;CH03;22;115;146;177;
07.06.2020;65+;CH03;23;115;146;177;
14.06.2020;65+;CH03;24;114;146;177;
21.06.2020;65+;CH03;25;114;145;176;
28.06.2020;65+;CH03;26;114;145;176;
05.07.2020;65+;CH03;27;114;145;176;
12.07.2020;65+;CH03;28;114;145;176;
19.07.2020;65+;CH03;29;114;145;176;
26.07.2020;65+;CH03;30;114;145;176;
02.08.2020;65+;CH03;31;114;145;176;
09.08.2020;65+;CH03;32;114;145;176;
16.08.2020;65+;CH03;33;113;144;175;
23.08.2020;65+;CH03;34;113;144;175;
30.08.2020;65+;CH03;35;114;145;176;
06.09.2020;65+;CH03;36;115;146;177;
13.09.2020;65+;CH03;37;116;147;178;
